Index,Platform,Year of first publishment,Articles,Article links,Age (for whom to be protected),For whom to use/control the safety features,WhoUseControl,SafetyFeatures,Problemarea,Content,Contact,Conduct,Contract,Circulation,Quotes
TikTok11,TikTok,2020,TikTok proposes global coalition to protect against harmful content,https://newsroom.tiktok.com/en-us/tiktok-proposes-global-coalition-to-protect-against-harmful-content,Teens (13-17),Platform/Teen/Parent,Platform & Parents & Teens,Message Restrictions,Interpersonal Communication,,MESSAGING_CONTROLS,,,,"Our commitment to keeping our users safe encompasses a broad effort which also includes features like Family Pairing, which we built to give parents better coordination with their teens; resources and education for our community, like our Youth Portal or educational safety videos; and industry partnerships we forge to collaborate and learn from others like the WePROTECT Global Alliance. "
TikTok14,TikTok,2020,Supporting youth and families on TikTok,https://newsroom.tiktok.com/en-us/supporting-youth-and-families-on-tiktok,ChildrenUnder13,Platform,Platform,Message Restrictions,Interpersonal Communication,,"NO_COMMENTING, NO_MESSAGING, NO_FOLLOWERS",,,,"In the US, we accommodate those under the age of 13 in TikTok for Younger Users, a view-only experience with curated content and additional safety and privacy protections designed specifically for an under-13 audience. In this ecosystem, users can experience and make fun, creative, and even educational videos but cannot post those videos, comment on others' videos, message with others, or maintain a profile or followers."
TikTok14,TikTok,2020,Supporting youth and families on TikTok,https://newsroom.tiktok.com/en-us/supporting-youth-and-families-on-tiktok,Teens (13-17),Parent,Parents,Message Restrictions,Interpersonal Communication,,MESSAGING_CONTROLS,,,,
TikTok16,TikTok,2020,Supporting creative expression in 2020 and beyond,https://newsroom.tiktok.com/en-us/year-on-tiktok-trust-and-safety-2020,Teens (13-17),Platform,Platform,Message Restrictions,Interpersonal Communication,,NO_MESSAGING_UNDER_16,,,,"With their input, we developed Family Pairing and our Youth Portal to educate teens about digital literacy and foster conversations about online safety within families. Based on youth-safety research, direct messaging and live streaming aren’t available for registered accounts under 16 as we work to reduce the potential for negative experiences or harm. "
TikTok17,TikTok,2021,Strengthening privacy and safety for youth on TikTok,https://newsroom.tiktok.com/en-us/strengthening-privacy-and-safety-for-youth,ChildrenUnder13,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,,VIEW_ONLY,,,"In the US, we accommodate users under 13 in a limited app experience, TikTok for Younger Users, which offers additional safeguards and privacy protections designed specifically for a younger audience. This experience allows users to browse a curated library of age-appropriate videos"
TikTok17,TikTok,2021,Strengthening privacy and safety for youth on TikTok,https://newsroom.tiktok.com/en-us/strengthening-privacy-and-safety-for-youth,Teens (13-15),Platform,Platform,Message Restrictions,Interpersonal Communication,,"NO_MESSAGING_UNDER_16, NO_LIVE_STREAMING_UNDER_16",,,,
TikTok18,TikTok,2021,Three TikTok features every parent should know,https://newsroom.tiktok.com/en-us/three-tiktok-features-every-parent-should-know,Teens (13-17),Parent,Parents,Message Restrictions,Interpersonal Communication,,"COMMENT_SETTINGS_FRIENS, NO_DIRECT_MESSAGING_SETTINGS, DIRECT_MESSAGING_SETTINGS",,,,"You also have the ability to choose who is allowed to comment on your teen's videos (either friends or no one), putting you in the driver's seat in managing who can engage with your teen on TikTok. you can also manage who can send your teen direct messages, or you can turn off direct messaging completely."
TikTok18,TikTok,2021,Three TikTok features every parent should know,https://newsroom.tiktok.com/en-us/three-tiktok-features-every-parent-should-know,Teens (13-17),Parent,Parents,Content Engagement Restrictions,Interpersonal Communication,,NO_COMMENTING_SETTINGS,,,,"You also have the ability to choose who is allowed to comment on your teen's videos (either friends or no one), putting you in the driver's seat in managing who can engage with your teen on TikTok. you can also manage who can send your teen direct messages, or you can turn off direct messaging completely."
TikTok25,TikTok,2021,Furthering our safety and privacy commitments for teens on TikTok,https://newsroom.tiktok.com/en-us/furthering-our-safety-and-privacy-commitments-for-teens-on-tiktok-us,ChildrenUnder16,Platform,Platform,Message Restrictions,Interpersonal Communication,,NO_DIRECT_MESSAGING,,,,"disabling messaging for accounts under age 16. To help teens understand the sharing options available to them we're now adding a pop-up that appears when teens under the age of 16 are ready to publish their first video, asking them to choose who can watch the video. Duet and Stitch are also disabled for accounts under 16. Note that downloads are permanently disabled on content from accounts under the age of 16.

"
TikTok25,TikTok,2021,Furthering our safety and privacy commitments for teens on TikTok,https://newsroom.tiktok.com/en-us/furthering-our-safety-and-privacy-commitments-for-teens-on-tiktok-us,Teens (13-15),Platform,Platform,Notification Settings,Platform Usage Patterns,,,NO_PUSH_NOTIFICATIONS_AFTER_9PM,,,Accounts aged 13-15 will not receive push notifications from 9pm
TikTok25,TikTok,2021,Furthering our safety and privacy commitments for teens on TikTok,https://newsroom.tiktok.com/en-us/furthering-our-safety-and-privacy-commitments-for-teens-on-tiktok-us,Teens (16-17),Platform/Teen,Platform & Teens,Message Restrictions,Interpersonal Communication,,"DEFAULT_NO_DIRECT_MESSAGING, NO_IMAGES_SENT_IN_MESSAGES, NO_VIDEOS_SENT_IN_MESSAGES, EXTRA_INFORMATION_DOWNLOAD_SETTINGS",,,,"when someone aged 16-17 joins TikTok, their Direct Messaging setting will now be set to 'No One' by default. These updates build on our current messaging protections, such as not allowing images or videos to be sent in messages. "
TikTok25,TikTok,2021,Furthering our safety and privacy commitments for teens on TikTok,https://newsroom.tiktok.com/en-us/furthering-our-safety-and-privacy-commitments-for-teens-on-tiktok-us,Teens (16-17),Platform,Platform,Notification Settings,Platform Usage Patterns,,,NO_PUSH_NOTIFICATIONS_AFTER_10PM,,,accounts aged 16-17 will have push notifications disabled starting at 10pm
TikTok25_1_1,TikTok,2020,Introducing Family Safety Mode and Screentime Management in Feed,https://newsroom.tiktok.com/en-gb/family-safety-mode-and-screentime-management-in-feed,Teens (13-17),Parent,Parents,Message Restrictions,Interpersonal Communication,,CONTROL_DIRECT_MESSAGING,,,,Screen Time Management: Control how long their teen can spend on TikTok each day. Direct Messages: Limit who can send messages to the connected account or turn off direct messaging completely. Restricted Mode: Restrict the appearance of content that may not be appropriate for all audiences.
TikTok4,TikTok,2019,TikTok Parental Guide,https://newsroom.tiktok.com/en-us/tiktok-parental-guide,Teens (13-17),Platform/Teen,Platform & Teens,Message Restrictions,Interpersonal Communication,,"NO_CHATTING_FOR_NON-FOLLOWERS, CONTROL_COMMENT_SETTINGS",,,,"If you switch to a private account you can approve or deny follower requests, and only users you’ve approved as followers can see your content. we give you the option to decide who can make duets with or react to your content. You can let anyone comment, restrict it to friends, or turn off comments completely."
TikTok42,TikTok,2022,Helping families to have digital safety conversations,https://newsroom.tiktok.com/en-us/helping-families-to-have-digital-safety-conversations,Teens (13-17),Parents,Parents,Content Engagement Restrictions,Interpersonal Communication,,CONTROL_COMMENT_SETTINGS,,,,"Family Pairing allows parents and guardians to link their accounts with those of their teens and set a variety of privacy and safety controls, such as managing screen time limits, setting a teen's account to private, and deciding who can comment on their videos."
TikTok46,TikTok,2023,New features for teens and families on TikTok,https://newsroom.tiktok.com/en-us/new-features-for-teens-and-families-on-tiktok-us,Teens (13-17),Parent,Parents,Notification Settings,Platform Usage Patterns,,,CONTROL_NOTIFICATION_SETTINGS,,,"Caregivers will be able to use Family Pairing to customize the daily screen time limit for their teen – including choosing different time limits depending on the day of the week – giving families more choices to match screen time to school schedules, holiday breaks, or family travel. We're bringing our screen time dashboard to Family Pairing, which provides summaries of time on the app, the number of times TikTok was opened, and a breakdown of total time spent during the day and night. We're introducing a new setting that enables parents to set a schedule to mute notifications for their teen."
TikTok5,TikTok,2019,TikTok for Younger Users,https://newsroom.tiktok.com/en-us/tiktok-for-younger-users,ChildrenUnder13,Platform,Platform,Message Restrictions,Interpersonal Communication,,"NO_COMMENTING, NO_MESSAGING",,,,"We accommodate users under the age of 13 in a limited app experience - ""TikTok for Younger Users"" - that introduces additional safety and privacy protections designed specifically for an audience that is under 13 years old. Within TikTok for Younger Users, users are provided a viewing experience that does not permit sharing of personal information and puts extensive limitations on content and user interaction. In this ecosystem, users cannot do things like share their videos, comment on others' videos, message with users, or maintain a profile or followers."
TikTok55,TikTok,2024,"TikTok CEO Shou Chew's Opening Statement - Senate Judiciary Committee Hearing on Online Child Sexual Exploitation Crisis - January 31, 2024",https://newsroom.tiktok.com/en-us/opening-statement-senate-judiciary-committee-hearing,ChildrenUnder16,Platform,Platform,Message Restrictions,Interpersonal Communication,,NO_MESSAGING,,,,"First, direct messaging is not available to anyone under 16. Second, accounts for people under 16 are automatically set to private along with their content. Furthermore, their content cannot be downloaded. And will not be recommended to people they do not know."
TikTok57,TikTok,2024,Share your favorite TikTok moments with Direct Messaging,https://newsroom.tiktok.com/en-us/share-your-favorite-tiktok-moments-with-direct-messaging,ChildrenUnder16,Platform,Platform,Message Restrictions,Interpersonal Communication,,"NO_MESSAGING, NO_GROUP_CHATS",,,,"Group Chat, like Direct Messaging, is not available for those ages 13 to 15"
TikTok57,TikTok,2024,Share your favorite TikTok moments with Direct Messaging,https://newsroom.tiktok.com/en-us/share-your-favorite-tiktok-moments-with-direct-messaging,Teens (16-17),Platform,Platform,Message Restrictions,Interpersonal Communication,,"ONLY_ADDING_TO_GROUP_CHAT_BY_FRIENDS, ONLY_JOINING_GROUP_CHATS_WITH_FRIENDS, MANDATORY_APPROVAL_OF_NEW_JOINERS_IN_GROUP_CHATS",,,,"Everyone, including teens, can only be added to a Group Chat by their friends (people they follow who also follow them). If a teen is sent a link to join a group conversation, they will not be able to join unless the group includes at least one mutual friend. If they are eligible to join, they will be required to make a proactive decision to join. When a teen creates a group conversation, by default we will require them to review and approve new joiners."
TikTok59,TikTok,2024,Community controls,https://www.tiktok.com/safety/en/community-controls,ChildrenUnder16,Platform,Platform,Message Restrictions,Interpersonal Communication,,"NO_MESSAGING, DEFAULT_COMMENT_SETTINGS_TO_FRIENDS, COMMENT_OPTIONS_FRIENDS_OR_NO_ONE, NO_DOWNLOADING_THEIR_VIDEOS",,,,Direct Messages are only available to registered accounts who are 16 and older. People under 16 and people with a private account cannot have their videos downloaded
TikTok59,TikTok,2024,Community controls,https://www.tiktok.com/safety/en/community-controls,Teens (16-17),"Platform, Teen, Parent",Platform & Parents & Teens,Message Restrictions,Interpersonal Communication,,"MESSAGING_RESTRICTIONS, PARENTAL_CONTROL_MESSAGING_SETTINGS, COMMENT_OPTIONS_EVRYONE_FRIENDS_OR_NO_ONE, DEFAULT_NO_DOWNLOADING_THEIR_VIDEOS",,,,"parent or caregiver can restrict or turn off with Family Pairing. Direct Messages can be set to ‘Everyone,’ ‘Friends’ (followers that you follow back), or ‘No one.’ People 16-17 also have this setting turned off by default, with the option to enable it in their Privacy settings. "
TikTok6,TikTok,2020,Protecting against exploitative content,https://newsroom.tiktok.com/en-us/protecting-against-exploitative-content,ChildrenUnder18,Platform,Platform,Message Restrictions,Interpersonal Communication,,"NO_IMAGES_IN_COMMENTS, NO_VIDEOS_IN_COMMENTS, NO_IMAGES_SENT_IN_MESSAGES, NO_VIDEOS_SENT_IN_MESSAGES, ENGAGEMENT_RESTRICTIONS, COMMENT_FILTERS, DISABLING_MESSAGES, BLOCKING_USERS",,,,"Unlike other platforms, we don't permit images or videos to be sent in comments or messages. In addition to reporting, we've built numerous controls into the app for users and families – such as the ability to make an account private, restrict who can engage with content, filter comments, disable messages, or block another user."
TikTok63,TikTok,2025,Teen Safety Center,https://www.tiktok.com/safety/en/youth-portal-1,ChildrenUnder16,Platform,Platform,Message Restrictions,Interpersonal Communication,,"NO_MESSAGING, COMMENT_OPTIONS_FRIENDS_OR_NO_ONE, NO_GOING_LIVE",,,,"No one can:
Send you direct messages."
TikTok63,TikTok,2025,Teen Safety Center,https://www.tiktok.com/safety/en/youth-portal-1,Teens (16-17),"Platform, Teen",Platform & Teens,Message Restrictions,Interpersonal Communication,,"DEFAULT_MESSAGING_SETTING_NO_ONE, DEFAULT_NO_SUGGESTING_ACCOUNT_TO_OTHERS, NO_GOING_LIVE",,,,"You can choose between a private or public account when you sign up for TikTok.
If you don't choose a public account or select the option Remind me later, your account is automatically set to private.
If you choose a public account, you can also always adjust your Settings to be more private.
You can control and manage who can:
Follow your profile, depending on your Settings.
See your content, followers, and following lists, depending on your Settings.
Duet, Stitch, or download your videos, depending on your Settings.
View and post comments on your videos. This control is automatically set to Followers for private accounts and Everyone for public accounts.
Send you direct messages. This control is automatically set to No one.
Create stickers from your videos. This control is automatically set to Only me for private accounts and Friends for public accounts.
Suggest your account to others is automatically set to Off. You can turn this On in Privacy settings.
You can watch TikTok LIVE but can't go LIVE or send a Gift during a LIVE"
TikTok67,TikTok,2025,Guardian's guide,https://www.tiktok.com/safety/en/guardians-guide,Teens (13-17),Platform,Platform,Message Restrictions,Interpersonal Communication,,"NO_DIRECT_MESSAGING, NO_GROUPCHATS",,,,
TikTok67,TikTok,2025,Guardian's guide,https://www.tiktok.com/safety/en/guardians-guide,Teens (13-17),Parent ,Parents,Content Engagement Restrictions,Interpersonal Communication,,PARENTAL_CONTROL_OVER_COMMENT_SETTINGS,,,,"Setting a screen time limit, customizable by the day of the week. Customizable filtering of your teen's For You feed using keywords. Customize comment controls."
TikTok7,TikTok,2020,TikTok introduces Family Pairing,https://newsroom.tiktok.com/en-us/tiktok-introduces-family-pairing,Teens (13-17),Parent,Parents,Message Restrictions,Interpersonal Communication,,MESSAGING_RESTRICTIONS,,,,Family Pairing will allow a parent to link their TikTok account to their teen's and set controls
TikTok8,TikTok,2020,From our family to yours,https://newsroom.tiktok.com/en-us/from-our-family-to-yours,ChildrenUnder18,Parent,Parents,Message Restrictions,Interpersonal Communication,,MESSAGING_RESTRICTIONS,,,,"Family Pairing will allow parents/guardians to access the safety and privacy settings of their children's TikTok account and set controls for Direct Message access, Screen Time Management, and Restricted Mode."
YouTube1,YouTube,2019,More updates on our actions related to the safety of minors on YouTube,https://blog.youtube/news-and-events/more-updates-on-our-actions-related-to/,ChildrenUnder18,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,COMMENTS_SUSPENSION,,,,"suspend comments on videos featuring young minors and videos featuring older minors that could be at risk of attracting predatory behavior.
we had been working on an even more effective classifier, that will identify and remove predatory comments. This classifier does not affect the monetization of your video. We accelerated its launch and now have a new comments classifier in place that is more sweeping in scope, and will detect and remove 2X more individual comments."
YouTube1_1,YouTube,2019,Update on our actions related to the safety of minors on YouTube,https://support.google.com/youtube/thread/1805616,ChildrenUnder18,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,NO_COMMENT,,,,"As you may have heard, we’ve reviewed and removed thousands of inappropriate comments that appeared against videos from creators with minors in them. We’ve also terminated hundreds of viewer accounts for the comments they left on videos and reported illegal behavior to the NCMEC so they can work with the proper authorities.

While the creators of these videos may have done nothing wrong, we’re going above and beyond our existing protections in the near term on content that may include or endanger minors. Our goal is to protect creators and the broader ecosystem while we improve our systems.

We’ve also taken some additional measures out of an abundance of caution:

Disabling comments 
We’ve disabled comments on tens of millions of videos that may include minors and therefore are at risk of predatory comments. As part of these actions, comments may be temporarily disabled on some or all of your videos.

We know comments are a key way creators connect with their community, but this was an important step for the safety of minors on YouTube and a precaution while we work to further improve our systems. We’re investing more in the tools we have to detect and remove this content.

If you are a parent or have minors in your videos please read our privacy & safety center and consider keeping your comments turned off.

If you do re-enable comments, you should hold and carefully review all new comments for approval before they're posted to your videos.


Limited Monetization
Videos that include minors and are at risk of predatory comments may receive limited or no ads (yellow icon). If you think we made a mistake please appeal. We’ll continue to refine our approach in the coming weeks and months.

Additionally, if you see any type of content (videos, comments, etc.) that you think exploits minors, please flag it for review and select “child abuse” in the reporting tool. No form of content that endangers minors is acceptable to us.

We’re taking swift action to ensure we’re identifying as much of this content as possible and will continue to take additional actions over the coming days and weeks to keep minors and the creator ecosystem safe. We will keep you posted as these changes occur."
YouTube18,YouTube,2018,Child safety policy,https://support.google.com/youtube/answer/2801999?hl=en,ChildrenUnder18,Creators featuring children,General Creators,Content Engagement Restrictions,Interpersonal Communication,,"NO_COMMENT, NO_LIVE_CHAT",,,,"Content featuring minors
""To protect minors on YouTube, content that doesn’t violate our policies but features children may have some features disabled at both the channel and content level. These features may include:
Comments
Live chat
Live streaming
Video recommendations (how and when your video is recommended)
Community posts
Shorts Video remixing"""
YouTube19,YouTube,2019,Set your channel or video’s audience,https://support.google.com/youtube/answer/9527654?hl=en&co=GENIE.Platform%3DAndroid,ChildrenUnder13,General Creators & Platform,General Creators & Platform,Content Engagement Restrictions,Interpersonal Communication,,,,Content Engagement Restrictions,,"As a YouTube creator, you are required to set future and existing videos as made for kids or not. Even creators who don’t make content for kids need to set their audience. This will help ensure that we offer the appropriate features on your content."
YouTube19,YouTube,2019,Set your channel or video’s audience,https://support.google.com/youtube/answer/9527654?hl=en&co=GENIE.Platform%3DAndroid,ChildrenUnder13,General Creators & Platform,General Creators & Platform,Message Restrictions,Interpersonal Communication,,NO_LIVE_CHAT,,,,"As a YouTube creator, you are required to set future and existing videos as made for kids or not. Even creators who don’t make content for kids need to set their audience. This will help ensure that we offer the appropriate features on your content."
YouTube29,YouTube,2020,Avoid restrictions on YouTube live streaming,https://support.google.com/youtube/answer/2853834?hl=en,ChildrenUnder13,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,"NO_LIVECHAT, NO_COMMENTS, ",,,,
YouTube29,YouTube,2020,Avoid restrictions on YouTube live streaming,https://support.google.com/youtube/answer/2853834?hl=en,ChildrenUnder13,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,Content Engagement Restrictions,,,,
YouTube3,YouTube,2019,An update on kids and data protection on YouTube,https://blog.youtube/news-and-events/an-update-on-kids/,ChildrenUnder13,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,"NO_COMMENT, NO_NOTIFICATION",,,,"This means that we will limit data collection and use on videos made for kids only to what is needed to support the operation of the service.

We will also stop serving personalized ads on this content entirely, and some features will no longer be available on this type of content, like comments and notifications. I"
YouTube3_2,YouTube,2017,5 ways we’re toughening our approach to protect families on YouTube and YouTube Kids,https://blog.youtube/news-and-events/5-ways-were-toughening-our-approach-to/,ChildrenUnder18,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,NO_COMMENT,,,,Blocking inappropriate comments on videos featuring minors: We have historically used a combination of automated systems and human flagging and review to remove inappropriate sexual or predatory comments on videos featuring minors. Starting this week we will begin taking an even more aggressive stance by turning off all comments on videos of minors where we see these types of comments.
YouTube36,YouTube,2024,Tips & resources for parents of teens on YouTube,https://support.google.com/youtube/answer/2802272?hl=en,Teens (13-17),Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,,DEFAULT_NO_AUTOPLAY,,,"Autoplay turned off: This feature is automatically turned off for teens. While off, videos won’t continuously play for your teen and they’ll have to select the next video they want to watch."
YouTube36_3,YouTube,2019,Autoplay videos,https://support.google.com/youtube/answer/6327615,Teens (13-17),Platform / Teens (13-17),Parents & Teens,Content Engagement Restrictions,Interpersonal Communication,,,DEFAULT_NO_AUTOPLAY,,,"For users aged 13-17 on YouTube, Autoplay is turned off by default. If you're 18 or over, Autoplay is turned on by default."
YouTube4,YouTube,2020,Better protecting kids’ privacy on YouTube,https://blog.youtube/news-and-events/better-protecting-kids-privacy-on-youtube/,ChildrenUnder13,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,"NO_COMMENT, NO_LIVE_CHAT",,,,"as comments, live chat, notification bell, stories, save to playlist, and others"
YouTube4,YouTube,2020,Better protecting kids’ privacy on YouTube,https://blog.youtube/news-and-events/better-protecting-kids-privacy-on-youtube/,ChildrenUnder13,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,,,"NO_PLAYLIST, NO_NOTIFICATION",,"as comments, live chat, notification bell, stories, save to playlist, and others"
YouTube47,YouTube,2022,Uploading a video as made for kids using CSV templates,https://support.google.com/youtube/answer/9610989?hl=en,ChildrenUnder13,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,"NO_COMMENT, NO_LIVE_CHAT",,,," you set a video or live stream as made for kids​
When you set your audience as “made for kids”, we'll restrict certain features to comply with the Children’s Online Privacy Protection Act (COPPA) and other applicable laws. When this happens, the following features won’t be available on individual videos or live streams: 
Personal advertising
Comments
Channel branding watermark
Donate button 
Cards or end screens
Live chat or live chat donations
Notification bell
Playback in the Miniplayer
Super Chat or Super Stickers
Save to playlist 
"
YouTube59,YouTube,2022,Auto-play videos,https://support.google.com/youtube/answer/6327615?hl=en-GB,Teens (13-17),Platform / Teens,Platform & Teens,Content Engagement Restrictions,Interpersonal Communication,,,DEFAULT_NO_AUTOPLAY,,,"For users aged 13–17 on YouTube, auto-play is turned Off by default. If you're aged 18 or over, auto-play is turned On by default."
YouTube7,YouTube,2021,A new choice for parents of tweens and teens on YouTube,https://blog.youtube/news-and-events/supervised-experiences-for-families-on-youtube/,ChildrenUnder18,Platform,Platform,Content Engagement Restrictions,Interpersonal Communication,,NO_COMMENT,,,,"When a parent grants access to YouTube, their child’s experience will feel much like regular YouTube, but certain features will be disabled to protect younger audiences. For example, we won't serve personalized ads or ads in certain categories. At launch, we'll also disable in-app purchases, as well as creation and comments features. Since self-expression and community are integral parts of YouTube and children's development, over time we'll work with parents and experts to add some of these features through an age-appropriate and parent controlled approach."
YouTube7_1,YouTube,2021,Exploration starts here,https://www.youtube.com/myfamily/,Teens (13-17),Platform / Teens (13-17),Parents & Teens,Content Engagement Restrictions,Interpersonal Communication,,,NO_AUTOPLAY,,,"The next video doesn’t automatically play for your teens

The autoplay feature enables another related video to automatically play after a video ends, but this feature is turned off by default for users under 18 years old."
YouTube8,YouTube,2021,New safety and digital wellbeing options for younger people on YouTube and YouTube Kids,https://blog.youtube/news-and-events/new-safety-and-digital-wellbeing-options-younger-people-youtube-and-youtube-kids/,Teens (13-17),Platform / Parent,Platform & Parents,Content Engagement Restrictions,Interpersonal Communication,,,DEFAULT_NO_AUTOPLAY,,,"We’ll also be adding an autoplay option on YouTube Kids and turning autoplay off by default in the app. Whether you’re driving on a roadtrip with your kids or listening to nursery rhymes together while cooking dinner, we want to empower parents to be able to choose an autoplay setting that’s right for their family. In the coming months, we’ll also be launching additional parental controls in the YouTube Kids app, including the ability for a parent to choose a “locked” default autoplay setting."
Meta1,Meta,2022,Tips for Parents,https://help.instagram.com/154475974694511/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=11,Teens (13-15),Parents,Parents,Parental Monitoring,Parental Supervision,REVIEW_CONTENT_SETTINGS,,"VIEW_SAFETY_SETTINGS, REVIEW_SAFETY_SETTINGS, REVIEW_PRIVACY_SETTINGS, REVIEW_ACCOUNT_SETTINGS",,,"Supervision enables parents and guardians to view their teen’s safety settings and approve or deny their requests to make their settings less protective.

Supervision is a set of tools and insights that parents and guardians can use to help support their teens under 18 on Instagram. Supervision enables parents and guardians to view their teen’s safety settings and approve or deny their requests to make their settings less protective.

See their teen’s sensitive content setting.

Teens under 16 will need their parent’s or guardian’s permission to switch their accounts to public."
Meta1,Meta,2022,Tips for Parents,https://help.instagram.com/154475974694511/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=11,Teens (13-17),Parents,Parents,Parental Monitoring,Parental Supervision,,"MONITOR_FOLLOWED, 
MONITOR_BLOCKING, MONITOR_DM_REQUESTS, 
MONITOR_GROUPCHAT","MONITOR_TIME, MONITOR_FOLLOWING",,,"See the average amount of time their teen has spent on Instagram across all devices over the past 7 days. If their teen uses Threads, their time on Threads will also be included.

See which accounts their teen is following.
See which accounts are following their teen.
See which accounts their teen is currently blocking.

See their teen’s setting for who can send them message requests.
See their teen’s setting for who can add them to a group chat."
Meta1_2,Meta,2024,Supporting your child’s Teen Account,https://help.instagram.com/1555818391956130,Teens (13-17),Parents,Parents,Parental Monitoring,Parental Supervision,MONITOR_TOPICS,,MONITOR_CHATTING,,,"See who your teen has chats with:
If a parent or guardian and their teen have supervision set up, the parent or guardian will be able to see the usernames of accounts who their teen has chatted with over the last 7 days, ordered by most recent. This includes if their teen has replied or reacted to someone’s stories or notes and vice versa. The parent will not be able to see the content of the actual messages, or the names of group chats they’re in.

""See your teen's chosen topics:
With supervision, you will be able to see the topics your teen chooses to see more of on Instagram. The topics your teen selects will show up in places where Instagram recommends content, such as Explore, and in-Feed Recommendations. In addition, your teen can tap on an individual topic to see a page of content related only to that one specific topic."""
Meta18_2,Meta,2024,"Creating safe, age-appropriate experiences on Instagram",https://about.instagram.com/safety,Teens (13-17),Parents,Parents,Parental Monitoring,Parental Supervision,,,NOTIFYING_REPORTING,,,Be notified when their teen shares that they’ve reported something
Meta18_2,Meta,2024,"Creating safe, age-appropriate experiences on Instagram",https://about.instagram.com/safety,Teens (13-17),Parents,Parents,Parental Monitoring,Parental Supervision,,MONITOR_FOLLOWED,MONITOR_FOLLOWING,,,see who their teen follows and who follows them
Meta29,Meta,2021,Raising the Standard for Protecting Teens and Supporting Parents Online,https://about.instagram.com/blog/announcements/raising-the-standard-for-protecting-teens-and-supporting-parents-online,Teens (13-17),Teens (13-17),Teens,Parental Monitoring,Parental Supervision,,NOTIFICATION_REPORTING,,,,"We’ll also give teens a new option to notify their parents if they report someone, giving their parents the opportunity to talk about it with them"
Meta48,Meta,2022,Introducing Family Center and Parental Supervision Tools on Instagram and in VR,https://about.instagram.com/blog/announcements/introducing-family-center-and-supervision-tools,Teens (13-17),Parents,Parents,Parental Monitoring,Parental Supervision,,MONITOR_FOLLOWED,,,,View and receive updates on what accounts their teens follow and the accounts that follow their teens.
Meta48,Meta,2024,Introducing Family Center and Parental Supervision Tools on Instagram and in VR,https://about.instagram.com/blog/announcements/introducing-family-center-and-supervision-tools,Teens (13-17),Teens (13-17),Teens,Parental Control Settings,Parental Supervision,,,,SUPERVISION_APPROVAL,,Teens will need to approve parental supervision if their parent or guardian requests it.
Meta48,Meta,2022,Introducing Family Center and Parental Supervision Tools on Instagram and in VR,https://about.instagram.com/blog/announcements/introducing-family-center-and-supervision-tools,Teens (13-17),Parents,Parents,Parental Monitoring,Parental Supervision,,NOTIFICATION_REPORTING,,,,Be notified when their teen shares they’ve reported someone.
Meta53,Meta,2022,Parental Supervision,https://help.instagram.com/309877544512275/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=29,Teens (13-17),Parents,Parents,Parental Monitoring,Parental Supervision,MONITOR_CONTENT_SETTINGS,MONITOR_MESSAGE_REQUEST,"MONITOR_FOLLOWING, MONITOR_BLOCKING, MONITOR_PRIVACY_SETTING, MONITOR_GROUP_CHAT",,,"See which accounts their teen is following.
See which accounts are following their teen.
See which accounts their teen is currently blocking.
See their teen’s account privacy setting.
See their teen’s setting for who can send them message requests.
See their teen’s setting for who can add them to a group chat.
See their teen’s sensitive content setting.
"
Meta61,Meta,2023,Giving People Control Over Their Time and What They See on Instagram,https://about.instagram.com/blog/announcements/new-ways-to-control-what-you-see-on-instagram,Teens (13-17),Parents,Parents,Parental Monitoring,Parental Supervision,,,"MONITOR_PRIVACY_SETTINGS, MONITOR_BLOCKED",,,"Recently, we added the ability for parents to see their teen’s Instagram settings, including privacy and account settings. If their teen updates a setting, parents will receive a notification so they can talk to their teen about the change. Parents can now also view accounts their teen has blocked."
Meta63,Meta,2023,Let your parent know you reported something on Instagram,https://help.instagram.com/675785036888926/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=25,Teens (13-17),Teens (13-17),Teens,Parental Monitoring,Parental Supervision,,NOTIFICATION_REPORTING,,,,"Notify your parent that you reported something
After reporting something, click Let your parent know.
Click Send.
Your supervising parent will be notified that you made a report and we’ll let them know the category you selected for the report as well as the account you reported. You may want to talk with your parent about what happened.
Learn how to report things on Instagram."
